MarshCode,HiveLocation,HiveCode,SamplingPeriod,SampleCode,VialNo,TubeNo,WeightG,IdCran,SpeciesType,DateClosed,DateCollected,ClosedSky,CollectedSky,ClosedWeather,CollectedWeather,Country,State,County,LandscapeType,Woodland,OpenNatural,Lat,Long,AreaM,TotalWeight,PropWeight
WC,C,WCC,LB2,WCC-LB2,1,1,0.008,NON,10,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.017,0.47
WC,C,WCC,LB2,WCC-LB2,1,2,0.002,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.017,0.12
WC,C,WCC,LB2,WCC-LB2,1,3,0.006,NON,21,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.017,0.35
WC,C,WCC,LB2,WCC-LB2,1,4,0.001,NON,33,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.017,0.06
WC,W,WCW,LB2,WCW-LB2,1,1,0.018,CRAN,1,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.03,0.6
WC,W,WCW,LB2,WCW-LB2,1,2,0.012,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,0.03,0.4
WC,R,WCR,LB2,WCR-LB2,1,1,4.608,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,12.651,0.36
WC,R,WCR,LB2,WCR-LB2,1,2,3.966,NON,11,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,12.651,0.31
WC,R,WCR,LB2,WCR-LB2,1,3,0.791,NON,5,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,12.651,0.06
WC,R,WCR,LB2,WCR-LB2,1,4,0.762,NON,22,23-Jun,24-Jun,Clear,Cloudy,Just right,Just right,US,WI,Warrens,HW,61.83,26.25,43.970216,-90.2859861,NA,12.651,0.06
