ID	Sample_name	Row	Col	Population	Harv_2023_1	Harv_2023_2	Harv_2024_1	Harv_2024_2	Sample_id
QS02	QS02	109	7	DiversityPanel	NA	NA	NA	NA	QS02   109,7
QS03	QS03	109	8	DiversityPanel	NA	NA	NA	NA	QS03   109,8
QS04	QS04	109	10	DiversityPanel	NA	NA	NA	NA	QS04   109,10
QS05	QS05	109	11	DiversityPanel	NA	NA	NA	NA	QS05   109,11
QS06	QS06	109	12	DiversityPanel	NA	NA	NA	NA	QS06   109,12
QS07	QS07	109	13	DiversityPanel	NA	NA	NA	NA	QS07   109,13
QS08	QS08	109	14	DiversityPanel	NA	NA	NA	NA	QS08   109,14
Ruby Star	RubyStar	107	6	DiversityPanel	NA	NA	NA	NA	RubyStar   107,6
SEB15	SEB15	116	9	DiversityPanel	NA	NA	NA	NA	SEB15   116,9
SHPL13	SHPL13	116	10	DiversityPanel	NA	NA	NA	NA	SHPL13   116,10
ST	ST	107	7	DiversityPanel	NA	NA	NA	NA	ST   107,7
Stevens_1	Stevens01	118	6	DiversityPanel	NA	NA	NA	NA	Stevens01   118,6
Stevens_10	Stevens10	116	17	DiversityPanel	NA	NA	NA	NA	Stevens10   116,17
Stevens_11	Stevens11	113	5	DiversityPanel	NA	NA	NA	NA	Stevens11   113,5
Stevens_12	Stevens12	115	4	DiversityPanel	NA	NA	NA	NA	Stevens12   115,4
Stevens_13	Stevens13	113	14	DiversityPanel	NA	NA	NA	NA	Stevens13   113,14
Stevens_14	Stevens14	116	12	DiversityPanel	NA	NA	NA	NA	Stevens14   116,12
Stevens_15	Stevens15	110	12	DiversityPanel	NA	NA	NA	NA	Stevens15   110,12
Stevens_16	Stevens16	119	12	DiversityPanel	NA	NA	NA	NA	Stevens16   119,12
Stevens_2	Stevens02	115	10	DiversityPanel	NA	NA	NA	NA	Stevens02   115,10
Stevens_3	Stevens03	112	10	DiversityPanel	NA	NA	NA	NA	Stevens03   112,10
Stevens_4	Stevens04	109	9	DiversityPanel	NA	NA	NA	NA	Stevens04   109,9
Stevens_5	Stevens05	109	19	DiversityPanel	NA	NA	NA	NA	Stevens05   109,19
Stevens_7	Stevens07	108	3	DiversityPanel	NA	NA	NA	NA	Stevens07   108,3
Stevens_8	Stevens08	107	2	DiversityPanel	NA	NA	NA	NA	Stevens08   107,2
Stevens_9	Stevens09	110	11	DiversityPanel	NA	NA	NA	NA	Stevens09   110,11
Sundance	Sundance	107	8	DiversityPanel	NA	NA	NA	NA	Sundance   107,8
V07	V07	107	9	DiversityPanel	NA	NA	NA	NA	V07   107,9
V11	V11	107	10	DiversityPanel	NA	NA	NA	NA	V11   107,10
WABL04	WABL04	116	11	DiversityPanel	NA	NA	NA	NA	WABL04   116,11
WABL06	WABL06	116	13	DiversityPanel	NA	NA	NA	NA	WABL06   116,13
WABL11	WABL11	116	14	DiversityPanel	NA	NA	NA	NA	WABL11   116,14
WC12-001	WC12001	109	18	DiversityPanel	NA	NA	NA	NA	WC12001   109,18
WC12-006	WC12006	110	1	DiversityPanel	NA	NA	NA	NA	WC12006   110,1
WC12-008	WC12008	110	2	DiversityPanel	NA	NA	NA	NA	WC12008   110,2
WC12-012	WC12012	110	3	DiversityPanel	NA	NA	NA	NA	WC12012   110,3
WC12-014	WC12014	110	4	DiversityPanel	NA	NA	NA	NA	WC12014   110,4
WC12-017	WC12017	110	5	DiversityPanel	NA	NA	NA	NA	WC12017   110,5
WC12-032	WC12032	110	6	DiversityPanel	NA	NA	NA	NA	WC12032   110,6
WC12-090	WC12090	110	7	DiversityPanel	NA	NA	NA	NA	WC12090   110,7
WC12-091	WC12091	110	8	DiversityPanel	NA	NA	NA	NA	WC12091   110,8
WC12-101	WC12101	110	9	DiversityPanel	NA	NA	NA	NA	WC12101   110,9
WC12-104	WC12104	110	10	DiversityPanel	NA	NA	NA	NA	WC12104   110,10
WC12-110	WC12110	110	13	DiversityPanel	NA	NA	NA	NA	WC12110   110,13
WC12-112	WC12112	110	14	DiversityPanel	NA	NA	NA	NA	WC12112   110,14
WC12-1190	WC121190	111	9	DiversityPanel	NA	NA	NA	NA	WC121190   111,9
WC12-131	WC12131	110	16	DiversityPanel	NA	NA	NA	NA	WC12131   110,16
WC12-132	WC12132	110	17	DiversityPanel	NA	NA	NA	NA	WC12132   110,17
WC12-133	WC12133	110	18	DiversityPanel	NA	NA	NA	NA	WC12133   110,18
WC12-153	WC12153	110	19	DiversityPanel	NA	NA	NA	NA	WC12153   110,19
WC12-199	WC12199	111	1	DiversityPanel	NA	NA	NA	NA	WC12199   111,1
WC12-221	WC12221	111	2	DiversityPanel	NA	NA	NA	NA	WC12221   111,2
WC12-232	WC12232	111	3	DiversityPanel	NA	NA	NA	NA	WC12232   111,3
WC12-280	WC12280	111	4	DiversityPanel	NA	NA	NA	NA	WC12280   111,4
WC12-288	WC12288	111	5	DiversityPanel	NA	NA	NA	NA	WC12288   111,5
WC12-325	WC12325	111	6	DiversityPanel	NA	NA	NA	NA	WC12325   111,6
WC12-326	WC12326	111	7	DiversityPanel	NA	NA	NA	NA	WC12326   111,7
WC12-332	WC12332	111	8	DiversityPanel	NA	NA	NA	NA	WC12332   111,8
WC16-004	WC16004	111	10	DiversityPanel	NA	NA	NA	NA	WC16004   111,10
WC16-011	WC16011	111	11	DiversityPanel	NA	NA	NA	NA	WC16011   111,11
WC16-014	WC16014	111	12	DiversityPanel	NA	NA	NA	NA	WC16014   111,12
WC16-017	WC16017	111	13	DiversityPanel	NA	NA	NA	NA	WC16017   111,13
WC16-018	WC16018	111	14	DiversityPanel	NA	NA	NA	NA	WC16018   111,14
WC16-023	WC16023	111	15	DiversityPanel	NA	NA	NA	NA	WC16023   111,15
WC16-026	WC16026	109	17	DiversityPanel	NA	NA	NA	NA	WC16026   109,17
WC16-027	WC16027	111	16	DiversityPanel	NA	NA	NA	NA	WC16027   111,16
WC16-029	WC16029	111	17	DiversityPanel	NA	NA	NA	NA	WC16029   111,17
WC16-034	WC16034	111	18	DiversityPanel	NA	NA	NA	NA	WC16034   111,18
WC16-036	WC16036	111	19	DiversityPanel	NA	NA	NA	NA	WC16036   111,19
WC16-037	WC16037	112	1	DiversityPanel	NA	NA	NA	NA	WC16037   112,1
WC16-040	WC16040	112	2	DiversityPanel	NA	NA	NA	NA	WC16040   112,2
WC16-041	WC16041	112	3	DiversityPanel	NA	NA	NA	NA	WC16041   112,3
WC16-042	WC16042	112	4	DiversityPanel	NA	NA	NA	NA	WC16042   112,4
WC16-043	WC16043	112	5	DiversityPanel	NA	NA	NA	NA	WC16043   112,5
WC16-049	WC16049	112	6	DiversityPanel	NA	NA	NA	NA	WC16049   112,6
