pH,Rep,Sample_code,Label,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
1,2,113-10,1,4.225,0.092,15/10/24,0,1,2023,0,,Drew
1,1,113-10,1,4.267,0.115,15/10/24,0,1,2023,0,,Drew
4.5,2,113-16,1,0.747,0.077,15/10/24,0,2,2023,0,,Drew
4.5,1,113-16,1,0.879,0.087,15/10/24,0,2,2023,0,,Drew
1,1,113-16,1,3.926,0.059,15/10/24,0,2,2023,0,,Drew
1,2,113-16,1,3.914,0.071,15/10/24,0,2,2023,0,,Drew
4.5,2,114-5,1,0.821,0.107,11/10/24,0,2,2023,0,,Drew
4.5,1,114-5,1,0.87,0.133,11/10/24,0,2,2023,0,,Drew
1,1,114-5,1,4.492,0.088,11/10/24,0,2,2023,0,,Drew
1,2,114-5,1,4.412,0.095,11/10/24,0,2,2023,0,,Drew
4.5,2,115-10,1,0.476,0.15,15/10/24,0,1,2023,1,,Drew
4.5,1,115-10,1,0.623,0.177,15/10/24,0,1,2023,1,,Drew
1,1,115-10,1,1.776,0.138,15/10/24,0,1,2023,1,"Less than 20 g, juice split",Drew
1,2,115-10,1,2.212,0.17,15/10/24,0,1,2023,1,,Drew
4.5,1,115-16,1,0.585,0.181,15/10/24,0,2,2023,0,,Drew
4.5,2,115-16,1,0.884,0.2,15/10/24,0,2,2023,0,,Drew
1,2,115-16,1,2.792,0.169,15/10/24,0,2,2023,0,,Drew
1,1,115-16,1,2.766,0.17,15/10/24,0,2,2023,0,,Drew
4.5,2,115-5,1,1.047,0.134,14/10/24,0,2,2023,0,,Drew
4.5,1,115-5,1,1.255,0.2,14/10/24,0,2,2023,0,,Drew
1,1,115-5,1,4.073,0.164,14/10/24,0,2,2023,0,,Drew
1,2,115-5,1,3.825,0.197,14/10/24,0,2,2023,0,,Drew
4.5,2,116-10,1,0.68,0.13,15/10/24,0,1,2023,0,,Drew
4.5,1,116-10,1,0.713,0.156,15/10/24,0,1,2023,0,,Drew
1,1,116-10,1,3.036,0.125,15/10/24,0,1,2023,0,Less than 20 g,Drew
1,2,116-10,1,2.799,0.127,15/10/24,0,1,2023,0,,Drew
4.5,1,116-16,1,0.802,0.119,15/10/24,0,2,2023,0,,Drew
4.5,2,116-16,1,0.784,0.13,15/10/24,0,2,2023,0,,Drew
1,1,116-16,1,3.628,0.104,15/10/24,0,2,2023,0,Less than 20 g,Drew
1,2,116-16,1,4.061,0.116,15/10/24,0,2,2023,0,,Drew
4.5,1,116-5,1,0.807,0.12,14/10/24,0,2,2023,0,,Drew
4.5,2,116-5,1,0.938,0.177,14/10/24,0,2,2023,0,,Drew
1,1,116-5,1,3.89,0.1,14/10/24,0,2,2023,0,,Drew
1,2,116-5,1,4.409,0.138,14/10/24,0,2,2023,0,,Drew
4.5,1,117-10,1,0.337,0.145,15/10/24,0,1,2023,0,,Drew
4.5,2,117-10,1,0.393,0.163,15/10/24,0,1,2023,0,,Drew
1,1,117-10,1,0.961,0.098,15/10/24,0,1,2023,0,Less than 20 g,Drew
1,2,117-10,1,1.079,0.14,15/10/24,0,1,2023,0,,Drew
4.5,2,117-3,1,0.494,0.085,14/10/24,0,2,2023,0,,Drew
4.5,1,117-3,1,0.515,0.12,14/10/24,0,2,2023,0,,Drew
1,2,117-3,1,2.83,0.072,14/10/24,0,2,2023,0,,Drew
1,1,117-3,1,2.516,0.073,14/10/24,0,2,2023,0,,Drew
4.5,2,117-5,1,0.424,0.055,14/10/24,0,2,2023,0,,Drew
4.5,1,117-5,1,0.45,0.083,14/10/24,0,2,2023,0,,Drew
1,2,117-5,1,2.314,0.049,14/10/24,0,2,2023,0,,Drew
1,1,117-5,1,2.34,0.05,14/10/24,0,2,2023,0,,Drew
4.5,2,118-10,1,1.984,0.264,15/10/24,0,1,2023,0,,Drew
4.5,1,118-10,1,1.058,0.283,15/10/24,0,1,2023,0,,Drew
1,2,118-10,1,3.033,0.263,15/10/24,0,1,2023,0,,Drew
1,1,118-10,1,2.999,0.264,15/10/24,0,1,2023,0,,Drew
4.5,1,118-3,1,0.655,0.14,14/10/24,0,2,2023,0,,Drew
4.5,2,118-3,1,1.062,0.217,14/10/24,0,2,2023,0,,Drew
1,2,118-3,1,3.242,0.128,14/10/24,0,2,2023,0,,Drew
1,1,118-3,1,3.079,0.162,14/10/24,0,2,2023,0,Both tubes are 15 g,Drew
4.5,2,118-5,1,0.67,0.056,11/10/24,0,2,2023,0,,Drew
4.5,1,118-5,1,0.721,0.059,11/10/24,0,2,2023,0,,Drew
1,1,118-5,1,3.862,0.065,11/10/24,0,2,2023,0,,Drew
1,2,118-5,1,3.62,0.124,11/10/24,0,2,2023,0,,Drew
4.5,2,119-10,1,0.234,0.092,15/10/24,0,1,2023,0,,Drew
4.5,1,119-10,1,0.235,0.094,15/10/24,0,1,2023,0,,Drew
1,1,119-10,1,0.795,0.095,15/10/24,0,1,2023,0,,Drew
