Sample_name,Row,Col,Population,Sample_id
SD20,14,28,ColorPanel,"SD20 14,28"
Stevens13,14,26,ColorPanel,"Stevens13 14,26"
CNJ0823337,15,20,ColorPanel,"CNJ0823337 15,20"
CNJ0823379,15,24,ColorPanel,"CNJ0823379 15,24"
CNJ1256185,15,21,ColorPanel,"CNJ1256185 15,21"
CNJ1256186,15,22,ColorPanel,"CNJ1256186 15,22"
CNJ1256188,15,23,ColorPanel,"CNJ1256188 15,23"
CNJ1256190,15,25,ColorPanel,"CNJ1256190 15,25"
CNJ1256191,15,26,ColorPanel,"CNJ1256191 15,26"
CNJ1256192,15,27,ColorPanel,"CNJ1256192 15,27"
SD21,15,28,ColorPanel,"SD21 15,28"
CNJ0823374,16,25,ColorPanel,"CNJ0823374 16,25"
CNJ1256195,16,20,ColorPanel,"CNJ1256195 16,20"
CNJ1256196,16,21,ColorPanel,"CNJ1256196 16,21"
CNJ1256197,16,22,ColorPanel,"CNJ1256197 16,22"
CNJ1256200,16,26,ColorPanel,"CNJ1256200 16,26"
CNJ1256201,16,28,ColorPanel,"CNJ1256201 16,28"
SD22,16,23,ColorPanel,"SD22 16,23"
Stevens03,16,27,ColorPanel,"Stevens03 16,27"
Stevens10,16,24,ColorPanel,"Stevens10 16,24"
CNJ0823343,17,23,ColorPanel,"CNJ0823343 17,23"
CNJ1256202,17,20,ColorPanel,"CNJ1256202 17,20"
CNJ125801,17,22,ColorPanel,"CNJ125801 17,22"
CNJ125803,17,24,ColorPanel,"CNJ125803 17,24"
CNJ125804,17,25,ColorPanel,"CNJ125804 17,25"
CNJ125805,17,26,ColorPanel,"CNJ125805 17,26"
CNJ125807,17,27,ColorPanel,"CNJ125807 17,27"
CNJ125809,17,28,ColorPanel,"CNJ125809 17,28"
Stevens17,17,21,ColorPanel,"Stevens17 17,21"
CNJ125810,18,20,ColorPanel,"CNJ125810 18,20"
CNJ125811,18,21,ColorPanel,"CNJ125811 18,21"
CNJ125812,18,22,ColorPanel,"CNJ125812 18,22"
CNJ125813,18,23,ColorPanel,"CNJ125813 18,23"
CNJ125815,18,24,ColorPanel,"CNJ125815 18,24"
CNJ125816,18,26,ColorPanel,"CNJ125816 18,26"
CNJ125817,18,27,ColorPanel,"CNJ125817 18,27"
CNJ125820,18,28,ColorPanel,"CNJ125820 18,28"
Stevens15,18,25,ColorPanel,"Stevens15 18,25"
CNJ125821,19,20,ColorPanel,"CNJ125821 19,20"
CNJ125822,19,21,ColorPanel,"CNJ125822 19,21"
CNJ125823,19,23,ColorPanel,"CNJ125823 19,23"
CNJ125824,19,24,ColorPanel,"CNJ125824 19,24"
CNJ125825,19,25,ColorPanel,"CNJ125825 19,25"
CNJ125826,19,26,ColorPanel,"CNJ125826 19,26"
CNJ125827,19,28,ColorPanel,"CNJ125827 19,28"
Stevens01,19,27,ColorPanel,"Stevens01 19,27"
Stevens14,19,22,ColorPanel,"Stevens14 19,22"
BenLear1284,20,28,ColorPanel,"BenLear1284 20,28"
CNJ125828,20,20,ColorPanel,"CNJ125828 20,20"
CNJ125829,20,21,ColorPanel,"CNJ125829 20,21"
CNJ125830,20,22,ColorPanel,"CNJ125830 20,22"
CNJ125831,20,23,ColorPanel,"CNJ125831 20,23"
CNJ125832,20,24,ColorPanel,"CNJ125832 20,24"
CNJ125833,20,25,ColorPanel,"CNJ125833 20,25"
HyRed1605,20,26,ColorPanel,"HyRed1605 20,26"
No351635,20,27,ColorPanel,"No351635 20,27"
Sweetie23,22,2,SweetiePanel,Sweetie23
Sweetie7,22,3,SweetiePanel,Sweetie7
Sweetie38,23,15,SweetiePanel,Sweetie38
Sweetie6,24,20,SweetiePanel,Sweetie6
Sweetie11,26,22,SweetiePanel,Sweetie11
Sweetie13,26,26,SweetiePanel,Sweetie13
Sweetie29,26,7,SweetiePanel,Sweetie29
Sweetie27,27,19,SweetiePanel,Sweetie27
Sweetie3,27,11,SweetiePanel,Sweetie3
Sweetie36,27,21,SweetiePanel,Sweetie36
Sweetie35,28,20,SweetiePanel,Sweetie35
Sweetie4,32,9,SweetiePanel,Sweetie4
Sweetie8,34,1,SweetiePanel,Sweetie8
Sweetie16,35,10,SweetiePanel,Sweetie16
Sweetie34,35,19,SweetiePanel,Sweetie34
Sweetie2,40,16,SweetiePanel,Sweetie2
Sweetie14,42,43,SweetiePanel,Sweetie14
Sweetie12,44,18,SweetiePanel,Sweetie12
Sweetie17,44,6,SweetiePanel,Sweetie17
Sweetie9,44,26,SweetiePanel,Sweetie9
Sweetie26,46,12,SweetiePanel,Sweetie26
Sweetie31,47,24,SweetiePanel,Sweetie31
Sweetie20,49,5,SweetiePanel,Sweetie20
Sweetie10,50,16,SweetiePanel,Sweetie10
Sweetie32,50,26,SweetiePanel,Sweetie32
Sweetie1,51,9,SweetiePanel,Sweetie1
Sweetie24,51,27,SweetiePanel,Sweetie24
Sweetie30,51,25,SweetiePanel,Sweetie30
Sweetie15,54,28,SweetiePanel,Sweetie15
Sweetie5,55,1,SweetiePanel,Sweetie5
Sweetie18,57,4,SweetiePanel,Sweetie18
Sweetie33,61,9,SweetiePanel,Sweetie33
Sweetie21,64,15,SweetiePanel,Sweetie21
Sweetie22,64,16,SweetiePanel,Sweetie22
Sweetie37,67,3,SweetiePanel,Sweetie37
Sweetie25,73,15,SweetiePanel,Sweetie25
Sweetie19,74,2,SweetiePanel,Sweetie19
Sweetie28,75,5,SweetiePanel,Sweetie28
BainFav1,106,2,DiversityPanel,"BainFav1 106,2"
BE4,106,3,DiversityPanel,"BE4 106,3"
BenLear,106,4,DiversityPanel,"BenLear 106,4"
Bergman,106,5,DiversityPanel,"Bergman 106,5"
BG,106,6,DiversityPanel,"BG 106,6"
BG48,106,7,DiversityPanel,"BG48 106,7"
BGYellow,106,8,DiversityPanel,"BGYellow 106,8"
BuddBlue,106,9,DiversityPanel,"BuddBlue 106,9"
CrimsonQ,106,10,DiversityPanel,"CrimsonQ 106,10"
D07,106,11,DiversityPanel,"D07 106,11"
Demoranville,106,12,DiversityPanel,"Demoranville 106,12"
EarlyBlack,106,13,DiversityPanel,"EarlyBlack 106,13"
Franklin,106,14,DiversityPanel,"Franklin 106,14"
GH1,106,15,DiversityPanel,"GH1 106,15"
Harju,106,16,DiversityPanel,"Harju 106,16"
Howes,106,17,DiversityPanel,"Howes 106,17"
HyRed,106,18,DiversityPanel,"HyRed 106,18"
J21,106,19,DiversityPanel,"J21 106,19"
No35,106,1,DiversityPanel,"No35 106,1"
LoRed,107,1,DiversityPanel,"LoRed 107,1"
MullicaQ,107,3,DiversityPanel,"MullicaQ 107,3"
PilgrimK,107,4,DiversityPanel,"PilgrimK 107,4"
PottersFav,107,5,DiversityPanel,"PottersFav 107,5"
RubyStar,107,6,DiversityPanel,"RubyStar 107,6"
ST,107,7,DiversityPanel,"ST 107,7"
Stevens08,107,2,DiversityPanel,"Stevens08 107,2"
Sundance,107,8,DiversityPanel,"Sundance 107,8"
V07,107,9,DiversityPanel,"V07 107,9"
V11,107,10,DiversityPanel,"V11 107,10"
Wilcox,107,11,DiversityPanel,"Wilcox 107,11"
WSU108,107,12,DiversityPanel,"WSU108 107,12"
YBS01,107,14,DiversityPanel,"YBS01 107,14"
YBS02,107,15,DiversityPanel,"YBS02 107,15"
YBS05,107,16,DiversityPanel,"YBS05 107,16"
YBS06,107,17,DiversityPanel,"YBS06 107,17"
YBS07,107,18,DiversityPanel,"YBS07 107,18"
YBS08,107,19,DiversityPanel,"YBS08 107,19"
YellowBell,107,13,DiversityPanel,"YellowBell 107,13"
MG02,108,16,DiversityPanel,"MG02 108,16"
MG03,108,17,DiversityPanel,"MG03 108,17"
MG04,108,18,DiversityPanel,"MG04 108,18"
MG07,108,19,DiversityPanel,"MG07 108,19"
Stevens07,108,3,DiversityPanel,"Stevens07 108,3"
YBS09,108,1,DiversityPanel,"YBS09 108,1"
YBS10,108,2,DiversityPanel,"YBS10 108,2"
YBS11,108,4,DiversityPanel,"YBS11 108,4"
YBS12,108,5,DiversityPanel,"YBS12 108,5"
YBS13,108,6,DiversityPanel,"YBS13 108,6"
YBS14,108,7,DiversityPanel,"YBS14 108,7"
YBS16,108,8,DiversityPanel,"YBS16 108,8"
YBS17,108,9,DiversityPanel,"YBS17 108,9"
YBS18,108,10,DiversityPanel,"YBS18 108,10"
YBS19,108,11,DiversityPanel,"YBS19 108,11"
