Sample_name,Row,Col,Harvest,Harvest_year,Population,Sample_id,Fruit_n,Total_weight,Avg_weight,Date,Notes
WC16034,111,18,1,2024,Diversity Panel,"WC16034  111,18",23,32.57,1.41608696,24/09/24,
WC16036,111,19,1,2024,Diversity Panel,"WC16036  111,19",0,0,0,24/09/24,
WC12221,111,2,1,2024,Diversity Panel,"WC12221  111,2",47,28.93,0.61553191,24/09/24,
WC12232,111,3,1,2024,Diversity Panel,"WC12232  111,3",45,42.18,0.93733333,24/09/24,
WC12280,111,4,1,2024,Diversity Panel,"WC12280  111,4",38,31.79,0.83657895,24/09/24,
WC12288,111,5,1,2024,Diversity Panel,"WC12288  111,5",38,34.01,0.895,24/09/24,
WC12325,111,6,1,2024,Diversity Panel,"WC12325  111,6",6,40,6.66666667,24/09/24,
WC12326,111,7,1,2024,Diversity Panel,"WC12326  111,7",41,72.04,1.75707317,24/09/24,
WC12332,111,8,1,2024,Diversity Panel,"WC12332  111,8",38,54.24,1.42736842,24/09/24,
WC121190,111,9,1,2024,Diversity Panel,"WC121190  111,9",47,67.13,1.42829787,24/09/24,
WC16037,112,1,1,2024,Diversity Panel,"WC16037  112,1",52,53.22,1.02346154,23/09/24,
Stevens03,112,10,1,2024,Diversity Panel,"Stevens03  112,10",49,107.34,2.19061225,23/09/24,
WC16058,112,11,1,2024,Diversity Panel,"WC16058  112,11",44,93.45,2.12386364,23/09/24,High color variation.
WC16059,112,12,1,2024,Diversity Panel,"WC16059  112,12",0,0,0,23/09/24,
WC16060,112,13,1,2024,Diversity Panel,"WC16060  112,13",31,60.55,1.95322581,23/09/24,
WC16061,112,14,1,2024,Diversity Panel,"WC16061  112,14",46,96.2,2.09130435,23/09/24,
WC16062,112,15,1,2024,Diversity Panel,"WC16062  112,15",46,70.8,1.53913044,23/09/24,
WC16063,112,16,1,2024,Diversity Panel,"WC16063  112,16",43,75.28,1.75069767,23/09/24,
WC16066,112,17,1,2024,Diversity Panel,"WC16066  112,17",44,78.56,1.78545455,23/09/24,
WC16067,112,18,1,2024,Diversity Panel,"WC16067  112,18",43,68.23,1.58674419,23/09/24,
WC16068,112,19,1,2024,Diversity Panel,"WC16068  112,19",43,83.7,1.94651163,23/09/24,
WC16040,112,2,1,2024,Diversity Panel,"WC16040  112,2",51,53.64,1.05176471,23/09/24,
WC16041,112,3,1,2024,Diversity Panel,"WC16041  112,3",1,0.67,0.67,23/09/24,
WC16042,112,4,1,2024,Diversity Panel,"WC16042  112,4",48,76.07,1.58479167,23/09/24,
WC16043,112,5,1,2024,Diversity Panel,"WC16043  112,5",46,83.77,1.82108696,23/09/24,
WC16049,112,6,1,2024,Diversity Panel,"WC16049  112,6",43,69.96,1.62697674,23/09/24,
WC16051,112,7,1,2024,Diversity Panel,"WC16051  112,7",51,82.89,1.62529412,23/09/24,
WC16054,112,8,1,2024,Diversity Panel,"WC16054  112,8",51,60.41,1.1845098,23/09/24,
WC16056,112,9,1,2024,Diversity Panel,"WC16056  112,9",39,100.49,2.57666667,23/09/24,
WC16070,113,1,1,2024,Diversity Panel,"WC16070  113,1",52,78.5,1.50961539,24/09/24,
