No,pH,Rep,Sample_code,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
1,1,1,8-20,1.305,0.115,30/10/24,20,1,2023,0,,
2,4.5,1,8-20,0.337,0.107,30/10/24,20,1,2023,0,,
3,1,2,8-20,1.288,0.098,30/10/24,20,1,2023,0,,
4,4.5,2,8-20,0.404,0.115,30/10/24,20,1,2023,0,,
1,1,1,3-27,0.498,0.095,31/10/24,20,1,2023,0,,
2,4.5,1,3-27,0.217,0.091,31/10/24,20,1,2023,0,,
3,1,2,3-27,0.497,0.108,31/10/24,20,1,2023,0,,
4,4.5,2,3-27,0.248,0.111,31/10/24,20,1,2023,0,,
1,1,1,2-26,0.509,0.102,31/10/24,20,1,2023,0,,
2,4.5,1,2-26,0.245,0.108,31/10/24,20,1,2023,0,,
3,1,2,2-26,0.468,0.117,31/10/24,20,1,2023,0,,
4,4.5,2,2-26,0.248,0.118,31/10/24,20,1,2023,0,,
1,1,1,5-28,0.62,0.162,31/10/24,20,1,2023,0,,
2,4.5,1,5-28,0.308,0.146,31/10/24,20,1,2023,0,,
3,1,2,5-28,0.668,0.14,31/10/24,20,1,2023,0,,
4,4.5,2,5-28,0.322,0.144,31/10/24,20,1,2023,0,,
