Sample_name,Row,Col,Population,Sample_code
SD40,7,27,ColorPanel,7-27
Stevens08,7,24,ColorPanel,7-24
CNJ0823321,8,26,ColorPanel,8-26
CNJ0823323,8,28,ColorPanel,8-28
CNJ1256102,8,21,ColorPanel,8-21
CNJ1256105,8,23,ColorPanel,8-23
CNJ1256106,8,24,ColorPanel,8-24
CNJ1256108,8,25,ColorPanel,8-25
SD10,8,22,ColorPanel,8-22
SD11,8,27,ColorPanel,8-27
Stevens02,8,20,ColorPanel,8-20
CNJ0823324,9,24,ColorPanel,9-24
CNJ0823326,9,27,ColorPanel,9-27
CNJ0823341,9,23,ColorPanel,9-23
CNJ0823351,9,22,ColorPanel,9-22
CNJ1256113,9,20,ColorPanel,9-20
SD12,9,25,ColorPanel,9-25
SD13,9,28,ColorPanel,9-28
SD41,9,21,ColorPanel,9-21
Stevens12,9,26,ColorPanel,9-26
CNJ0823331,10,26,ColorPanel,10-26
CNJ1256124,10,20,ColorPanel,10-20
CNJ1256126,10,21,ColorPanel,10-21
CNJ1256129,10,24,ColorPanel,10-24
CNJ1256130,10,25,ColorPanel,10-25
CNJ1256146,10,27,ColorPanel,10-27
SD42,10,23,ColorPanel,10-23
SD43,10,28,ColorPanel,10-28
Stevens16,10,22,ColorPanel,10-22
CNJ1256135,11,20,ColorPanel,11-20
CNJ1256137,11,21,ColorPanel,11-21
CNJ1256139,11,22,ColorPanel,11-22
CNJ1256141,11,23,ColorPanel,11-23
CNJ1256142,11,24,ColorPanel,11-24
CNJ1256143,11,26,ColorPanel,11-26
CNJ1256144,11,27,ColorPanel,11-27
CNJ1256145,11,28,ColorPanel,11-28
Stevens18,11,25,ColorPanel,11-25
CNJ0423702,12,27,ColorPanel,12-27
CNJ1256147,12,20,ColorPanel,12-20
CNJ1256148,12,22,ColorPanel,12-22
CNJ1256150,12,23,ColorPanel,12-23
CNJ1256153,12,24,ColorPanel,12-24
CNJ1256154,12,25,ColorPanel,12-25
CNJ1256155,12,26,ColorPanel,12-26
SD14,12,28,ColorPanel,12-28
Stevens05,12,21,ColorPanel,12-21
CNJ0823332,13,20,ColorPanel,13-20
CNJ0823336,13,25,ColorPanel,13-25
CNJ1256161,13,22,ColorPanel,13-22
CNJ1256162,13,23,ColorPanel,13-23
CNJ1256164,13,26,ColorPanel,13-26
SD15,13,21,ColorPanel,13-21
SD16,13,27,ColorPanel,13-27
SD17,13,28,ColorPanel,13-28
Stevens06,13,24,ColorPanel,13-24
CNJ0423701,14,22,ColorPanel,14-22
CNJ0823349,14,24,ColorPanel,14-24
CNJ1256172,14,21,ColorPanel,14-21
CNJ1256179,14,25,ColorPanel,14-25
CNJ1256181,14,27,ColorPanel,14-27
SD18,14,20,ColorPanel,14-20
SD19,14,23,ColorPanel,14-23
SD20,14,28,ColorPanel,14-28
Stevens13,14,26,ColorPanel,14-26
CNJ0823337,15,20,ColorPanel,15-20
CNJ0823379,15,24,ColorPanel,15-24
CNJ1256185,15,21,ColorPanel,15-21
CNJ1256186,15,22,ColorPanel,15-22
CNJ1256188,15,23,ColorPanel,15-23
CNJ1256190,15,25,ColorPanel,15-25
CNJ1256191,15,26,ColorPanel,15-26
CNJ1256192,15,27,ColorPanel,15-27
SD21,15,28,ColorPanel,15-28
CNJ0823374,16,25,ColorPanel,16-25
CNJ1256195,16,20,ColorPanel,16-20
CNJ1256196,16,21,ColorPanel,16-21
CNJ1256197,16,22,ColorPanel,16-22
CNJ1256200,16,26,ColorPanel,16-26
CNJ1256201,16,28,ColorPanel,16-28
SD22,16,23,ColorPanel,16-23
Stevens03,16,27,ColorPanel,16-27
Stevens10,16,24,ColorPanel,16-24
CNJ0823343,17,23,ColorPanel,17-23
CNJ1256202,17,20,ColorPanel,17-20
CNJ125801,17,22,ColorPanel,17-22
CNJ125803,17,24,ColorPanel,17-24
CNJ125804,17,25,ColorPanel,17-25
CNJ125805,17,26,ColorPanel,17-26
CNJ125807,17,27,ColorPanel,17-27
CNJ125809,17,28,ColorPanel,17-28
Stevens17,17,21,ColorPanel,17-21
CNJ125810,18,20,ColorPanel,18-20
CNJ125811,18,21,ColorPanel,18-21
CNJ125812,18,22,ColorPanel,18-22
CNJ125813,18,23,ColorPanel,18-23
CNJ125815,18,24,ColorPanel,18-24
CNJ125816,18,26,ColorPanel,18-26
CNJ125817,18,27,ColorPanel,18-27
CNJ125820,18,28,ColorPanel,18-28
Stevens15,18,25,ColorPanel,18-25
CNJ125821,19,20,ColorPanel,19-20
CNJ125822,19,21,ColorPanel,19-21
CNJ125823,19,23,ColorPanel,19-23
CNJ125824,19,24,ColorPanel,19-24
CNJ125825,19,25,ColorPanel,19-25
CNJ125826,19,26,ColorPanel,19-26
CNJ125827,19,28,ColorPanel,19-28
Stevens01,19,27,ColorPanel,19-27
Stevens14,19,22,ColorPanel,19-22
BenLear1284,20,28,ColorPanel,20-28
CNJ125828,20,20,ColorPanel,20-20
CNJ125829,20,21,ColorPanel,20-21
CNJ125830,20,22,ColorPanel,20-22
CNJ125831,20,23,ColorPanel,20-23
CNJ125832,20,24,ColorPanel,20-24
CNJ125833,20,25,ColorPanel,20-25
HyRed1605,20,26,ColorPanel,20-26
No351635,20,27,ColorPanel,20-27
Sweetie23,22,2,SweetiePanel,22-2
Sweetie7,22,3,SweetiePanel,22-3
Sweetie38,23,15,SweetiePanel,23-15
Sweetie6,24,20,SweetiePanel,24-20
Sweetie11,26,22,SweetiePanel,26-22
Sweetie13,26,26,SweetiePanel,26-26
Sweetie29,26,7,SweetiePanel,26-7
Sweetie27,27,19,SweetiePanel,27-19
Sweetie3,27,11,SweetiePanel,27-11
Sweetie36,27,21,SweetiePanel,27-21
Sweetie35,28,20,SweetiePanel,28-20
Sweetie4,32,9,SweetiePanel,32-9
Sweetie8,34,1,SweetiePanel,34-1
Sweetie16,35,10,SweetiePanel,35-10
Sweetie34,35,19,SweetiePanel,35-19
Sweetie2,40,16,SweetiePanel,40-16
Sweetie14,42,43,SweetiePanel,42-43
Sweetie12,44,18,SweetiePanel,44-18
Sweetie17,44,6,SweetiePanel,44-6
Sweetie9,44,26,SweetiePanel,44-26
Sweetie26,46,12,SweetiePanel,46-12
Sweetie31,47,24,SweetiePanel,47-24
Sweetie20,49,5,SweetiePanel,49-5
Sweetie10,50,16,SweetiePanel,50-16
Sweetie32,50,26,SweetiePanel,50-26
Sweetie1,51,9,SweetiePanel,51-9
Sweetie24,51,27,SweetiePanel,51-27
Sweetie30,51,25,SweetiePanel,51-25
Sweetie15,54,28,SweetiePanel,54-28
Sweetie5,55,1,SweetiePanel,55-1
Sweetie18,57,4,SweetiePanel,57-4
Sweetie33,61,9,SweetiePanel,61-9
Sweetie21,64,15,SweetiePanel,64-15
Sweetie22,64,16,SweetiePanel,64-16
Sweetie37,67,3,SweetiePanel,67-3
