ID,Sample_name,Row,Col,Population,Harv_2023_1,Harv_2023_2,Harv_2024_1,Harv_2024_2
CNJ12-56-13,CNJ12-56-13_01,2,21,ColorPanel,,,,
CNJ12-56-130,CNJ12-56-130,10,25,ColorPanel,,,,
CNJ12-56-135,CNJ12-56-135,11,20,ColorPanel,,,,
CNJ12-56-137,CNJ12-56-137,11,21,ColorPanel,,,,
CNJ12-56-139,CNJ12-56-139,11,22,ColorPanel,,,,
CNJ12-56-14,CNJ12-56-14,2,23,ColorPanel,,,,
CNJ12-56-141,CNJ12-56-141,11,23,ColorPanel,,,,
CNJ12-56-142,CNJ12-56-142,11,24,ColorPanel,,,,
CNJ12-56-143,CNJ12-56-143,11,26,ColorPanel,,,,
CNJ12-56-144,CNJ12-56-144,11,27,ColorPanel,,,,
CNJ12-56-145,CNJ12-56-145,11,28,ColorPanel,,,,
CNJ12-56-146,CNJ12-56-146,10,27,ColorPanel,,,,
CNJ12-56-147,CNJ12-56-147,12,20,ColorPanel,,,,
CNJ12-56-148,CNJ12-56-148,12,22,ColorPanel,,,,
CNJ12-56-150,CNJ12-56-150,12,23,ColorPanel,,,,
CNJ12-56-153,CNJ12-56-153,12,24,ColorPanel,,,,
CNJ12-56-154,CNJ12-56-154,12,25,ColorPanel,,,,
CNJ12-56-155,CNJ12-56-155,12,26,ColorPanel,,,,
CNJ12-56-161,CNJ12-56-161,13,22,ColorPanel,,,,
CNJ12-56-162,CNJ12-56-162,13,23,ColorPanel,,,,
CNJ12-56-164,CNJ12-56-164,13,26,ColorPanel,,,,
CNJ12-56-17,CNJ12-56-17_01,2,24,ColorPanel,,,,
CNJ12-56-172,CNJ12-56-172,14,21,ColorPanel,,,,
CNJ12-56-179,CNJ12-56-179,14,25,ColorPanel,,,,
CNJ12-56-181,CNJ12-56-181,14,27,ColorPanel,,,,
CNJ12-56-185,CNJ12-56-185,15,21,ColorPanel,,,,
CNJ12-56-186,CNJ12-56-186,15,22,ColorPanel,,,,
CNJ12-56-188,CNJ12-56-188,15,23,ColorPanel,,,,
CNJ12-56-190,CNJ12-56-190,15,25,ColorPanel,,,,
CNJ12-56-191,CNJ12-56-191,15,26,ColorPanel,,,,
CNJ12-56-192,CNJ12-56-192,15,27,ColorPanel,,,,
CNJ12-56-195,CNJ12-56-195,16,20,ColorPanel,,,,
CNJ12-56-196,CNJ12-56-196,16,21,ColorPanel,,,,
CNJ12-56-197,CNJ12-56-197,16,22,ColorPanel,,,,
CNJ12-56-200,CNJ12-56-200,16,26,ColorPanel,,,,
CNJ12-56-201,CNJ12-56-201,16,28,ColorPanel,,,,
CNJ12-56-202,CNJ12-56-202,17,20,ColorPanel,,,,
CNJ12-56-31,CNJ12-56-31,2,21,ColorPanel,,,,
CNJ12-56-43,CNJ12-56-43,3,26,ColorPanel,,,,
CNJ12-56-50,CNJ12-56-50,4,20,ColorPanel,,,,
CNJ12-56-51,CNJ12-56-51,4,21,ColorPanel,,,,
CNJ12-56-52,CNJ12-56-52,4,22,ColorPanel,,,,
CNJ12-56-54,CNJ12-56-54,4,23,ColorPanel,,,,
CNJ12-56-56,CNJ12-56-56,4,27,ColorPanel,,,,
CNJ12-56-58,CNJ12-56-58,5,20,ColorPanel,,,,
CNJ12-56-59,CNJ12-56-59,5,22,ColorPanel,,,,
CNJ12-56-63,CNJ12-56-63,5,25,ColorPanel,,,,
CNJ12-56-67,CNJ12-56-67,6,20,ColorPanel,,,,
CNJ12-56-68,CNJ12-56-68,6,22,ColorPanel,,,,
CNJ12-56-71,CNJ12-56-71,6,25,ColorPanel,,,,
CNJ12-56-73,CNJ12-56-73,6,26,ColorPanel,,,,
CNJ12-56-77,CNJ12-56-77,7,21,ColorPanel,,,,
CNJ12-56-85,CNJ12-56-85,7,22,ColorPanel,,,,
CNJ12-58-01,CNJ12-58-01,17,21,ColorPanel,,,,
CNJ12-58-03,CNJ12-58-03,17,24,ColorPanel,,,,
CNJ12-58-04,CNJ12-58-04,17,25,ColorPanel,,,,
CNJ12-58-05,CNJ12-58-05,17,26,ColorPanel,,,,
CNJ12-58-07,CNJ12-58-07,17,27,ColorPanel,,,,
CNJ12-58-09,CNJ12-58-09,17,29,ColorPanel,,,,
CNJ12-58-10,CNJ12-58-10,18,20,ColorPanel,,,,
CNJ12-58-11,CNJ12-58-11,18,21,ColorPanel,,,,
CNJ12-58-12,CNJ12-58-12,18,22,ColorPanel,,,,
CNJ12-58-13,CNJ12-58-13,18,23,ColorPanel,,,,
CNJ12-58-15,CNJ12-58-15,18,25,ColorPanel,,,,
CNJ12-58-16,CNJ12-58-16,18,26,ColorPanel,,,,
CNJ12-58-17,CNJ12-58-17,18,27,ColorPanel,,,,
CNJ12-58-20,CNJ12-58-20,18,28,ColorPanel,,,,
CNJ12-58-21,CNJ12-58-21,19,20,ColorPanel,,,,
CNJ12-58-22,CNJ12-58-22,19,21,ColorPanel,,,,
CNJ12-58-23,CNJ12-58-23,19,23,ColorPanel,,,,
CNJ12-58-24,CNJ12-58-24,19,24,ColorPanel,,,,
CNJ12-58-25,CNJ12-58-25,19,25,ColorPanel,,,,
CNJ12-58-26,CNJ12-58-26,19,26,ColorPanel,,,,
CNJ12-58-27,CNJ12-58-27,19,28,ColorPanel,,,,
CNJ12-58-28,CNJ12-58-28,20,20,ColorPanel,,,,
CNJ12-58-29,CNJ12-58-29,20,21,ColorPanel,,,,
CNJ12-58-30,CNJ12-58-30,20,22,ColorPanel,,,,
CNJ12-58-31,CNJ12-58-31,20,23,ColorPanel,,,,
CNJ12-58-32,CNJ12-58-32,20,24,ColorPanel,,,,
CNJ12-58-33,CNJ12-58-33,20,25,ColorPanel,,,,
HyRed (WC16-05),HyRed1605,20,26,ColorPanel,,,,
SD_01,SD_01,1,27,ColorPanel,,,,
SD_02,SD_02,4,25,ColorPanel,,,,
SD_03,SD_03,5,23,ColorPanel,,,,
SD_04,SD_04,5,24,ColorPanel,,,,
SD_05,SD_05,6,24,ColorPanel,,,,
SD_06,SD_06,7,20,ColorPanel,,,,
SD_07,SD_07,7,23,ColorPanel,,,,
SD_08,SD_08,7,25,ColorPanel,,,,
SD_09,SD_09,7,26,ColorPanel,,,,
SD_10,SD_10,8,22,ColorPanel,,,,
SD_11,SD_11,8,27,ColorPanel,,,,
SD_12,SD_12,9,25,ColorPanel,,,,
SD_13,SD_13,9,28,ColorPanel,,,,
SD_14,SD_14,12,28,ColorPanel,,,,
SD_15,SD_15,13,21,ColorPanel,,,,
SD_16,SD_16,13,27,ColorPanel,,,,
SD_17,SD_17,13,28,ColorPanel,,,,
SD_18,SD_18,14,20,ColorPanel,,,,
SD_19,SD_19,14,23,ColorPanel,,,,
SD_20,SD_20,14,28,ColorPanel,,,,
SD_21,SD_21,15,28,ColorPanel,,,,
SD_22,SD_22,16,23,ColorPanel,,,,
SD_38,SD_38,4,28,ColorPanel,,,,
SD_39,SD_39,5,26,ColorPanel,,,,
SD_40,SD_40,7,27,ColorPanel,,,,
SD_41,SD_41,9,21,ColorPanel,,,,
SD_42,SD_42,10,23,ColorPanel,,,,
SD_43,SD_43,10,28,ColorPanel,,,,
Stevens,Stevens_19,2,26,ColorPanel,,,,
Stevens_1,Stevens01,19,27,ColorPanel,,,,
Stevens_10,Stevens10,16,24,ColorPanel,,,,
Stevens_11,Stevens11,2,22,ColorPanel,,,,
Stevens_11,Stevens12,9,26,ColorPanel,,,,
Stevens_12,Stevens13,14,26,ColorPanel,,,,
Stevens_12,Stevens14,19,22,ColorPanel,,,,
Stevens_13,Stevens15,18,25,ColorPanel,,,,
Stevens_13,Stevens16,10,22,ColorPanel,,,,
Stevens_14,Stevens17,17,21,ColorPanel,,,,
Stevens_14,Stevens18,11,25,ColorPanel,,,,
Stevens_2,Stevens02,8,20,ColorPanel,,,,
Stevens_3,Stevens03,16,27,ColorPanel,,,,
Stevens_4,Stevens04,6,27,ColorPanel,,,,
Stevens_5,Stevens05,12,21,ColorPanel,,,,
Stevens_6,Stevens06,13,24,ColorPanel,,,,
Stevens_7,Stevens07,5,21,ColorPanel,,,,
Stevens_8,Stevens08,7,24,ColorPanel,,,,
Stevens_9,Stevens09,4,24,ColorPanel,,,,
,,,,,,,,
