ID,Sample_name,Row,Col,Population,Harv_2023_1,Harv_2023_2,Harv_2024_1,Harv_2024_2
CNJ08-233-36,CNJ08-233-36,13,25,ColorPanel,,,,
CNJ08-233-37,CNJ08-233-37,15,20,ColorPanel,,,,
CNJ08-233-38,CNJ08-233-38,2,25,ColorPanel,,,,
CNJ08-233-41,CNJ08-233-41,9,23,ColorPanel,,,,
CNJ08-233-43,CNJ08-233-43,17,23,ColorPanel,,,,
CNJ08-233-46,CNJ08-233-46,3,27,ColorPanel,,,,
CNJ08-233-47,CNJ08-233-47,1,26,ColorPanel,,,,
CNJ08-233-49,CNJ08-233-49,14,24,ColorPanel,,,,
CNJ08-233-51,CNJ08-233-51,9,22,ColorPanel,,,,
CNJ08-233-54,CNJ08-233-54,3,33,ColorPanel,,,,
CNJ08-233-57,CNJ08-233-57,3,24,ColorPanel,,,,
CNJ08-233-58,CNJ08-233-58,3,25,ColorPanel,,,,
CNJ08-233-62,CNJ08-233-62,3,20,ColorPanel,,,,
CNJ08-233-64,CNJ08-233-64,5,27,ColorPanel,,,,
CNJ08-233-69,CNJ08-233-69,6,23,ColorPanel,,,,
CNJ08-233-71,CNJ08-233-71,6,28,ColorPanel,,,,
CNJ08-233-73,CNJ08-233-73,5,28,ColorPanel,,,,
CNJ08-233-74,CNJ08-233-74,16,25,ColorPanel,,,,
CNJ08-233-79,CNJ08-233-79,15,24,ColorPanel,,,,
CNJ08-233-81,CNJ08-233-81,3,28,ColorPanel,,,,
CNJ12-56-02,CNJ12-56-02,1,21,ColorPanel,,,,
CNJ12-56-04,CNJ12-56-04,1,22,ColorPanel,,,,
CNJ12-56-05,CNJ12-56-05,1,23,ColorPanel,,,,
CNJ12-56-06,CNJ12-56-06,1,24,ColorPanel,,,,
CNJ12-56-07,CNJ12-56-07,1,25,ColorPanel,,,,
CNJ12-56-102,CNJ12-56-102,8,21,ColorPanel,,,,
CNJ12-56-105,CNJ12-56-105,8,23,ColorPanel,,,,
CNJ12-56-106,CNJ12-56-106,8,24,ColorPanel,,,,
CNJ12-56-108,CNJ12-56-108,8,25,ColorPanel,,,,
CNJ12-56-113,CNJ12-56-113,9,20,ColorPanel,,,,
CNJ12-56-124,CNJ12-56-124,10,20,ColorPanel,,,,
CNJ12-56-126,CNJ12-56-126,10,21,ColorPanel,,,,
CNJ12-56-129,CNJ12-56-129,10,24,ColorPanel,,,,
