Code,ID,Experiment,Genotyped
VAC_155005_P002_WF04,WC16-068,Diversity panel,Yes
VAC_155005_P002_WF05,WC17-004,Diversity panel,Yes
VAC_155005_P002_WF06,BL10,Diversity panel,Yes
VAC_155005_P002_WF07,Chip07,Diversity panel,Yes
VAC_155005_P002_WF08,GYPL28,Diversity panel,Yes
VAC_155005_P002_WF09,LL08,Diversity panel,Yes
VAC_155005_P002_WF10,LOLM11,Diversity panel,Yes
VAC_155005_P002_WF11,LRL11,Diversity panel,Yes
VAC_155005_P002_WF12,WABL04,Diversity panel,Yes
VAC_155005_P002_WG01,WC16-018,Diversity panel,Yes
VAC_155005_P002_WG02,WC16-041,Diversity panel,Yes
VAC_155005_P002_WG03,WC16-059,Diversity panel,Yes
VAC_155005_P002_WG04,WC16-070,Diversity panel,Yes
VAC_155005_P002_WG05,A41S-X3,Diversity panel,Yes
VAC_155005_P002_WG06,BL14,Diversity panel,Yes
VAC_155005_P002_WG07,Chip08,Diversity panel,Yes
VAC_155005_P002_WG08,GYPL31,Diversity panel,Yes
VAC_155005_P002_WG09,LL12,Diversity panel,Yes
VAC_155005_P002_WG10,LOLM12,Diversity panel,Yes
VAC_155005_P002_WG11,LRL15,Diversity panel,Yes
VAC_155005_P002_WH01,WC16-023,Diversity panel,Yes
VAC_155005_P002_WH02,WC16-042,Diversity panel,Yes
VAC_155005_P002_WH03,WC16-060,Diversity panel,Yes
VAC_155005_P002_WH04,WC16-071,Diversity panel,Yes
VAC_155005_P002_WH05,A41S-X8,Diversity panel,Yes
VAC_155005_P002_WH06,BL18,Diversity panel,Yes
VAC_155005_P002_WH07,Chip10,Diversity panel,Yes
VAC_155005_P002_WH08,GYPL32,Diversity panel,Yes
VAC_155005_P002_WH09,LL13,Diversity panel,Yes
VAC_155005_P002_WH10,LRL01,Diversity panel,Yes
VAC_155005_P002_WH11,LRL18,Diversity panel,Yes
VAC_155005_P003_WA01,LWP-Unk,NA,NA
VAC_155005_P003_WA02,WC17-022,Diversity panel,Yes
VAC_155005_P003_WA03,WC17-027-2,Diversity panel,Yes
VAC_155005_P003_WA04,WC17-037-1,Diversity panel,Yes
VAC_155005_P003_WA05,WC17-046-1,Diversity panel,Yes
VAC_155005_P003_WA06,WC17-053-3,Diversity panel,Yes
VAC_155005_P003_WA07,WC17-065-3,Diversity panel,Yes
VAC_155005_P003_WA08,WC17-086-1,Diversity panel,Yes
VAC_155005_P003_WA09,A4S193,NA,NA
VAC_155005_P003_WA10,#35 x HyRed-02,NA,NA
VAC_155005_P003_WA11,#35 x WSU108-06,NA,NA
VAC_155005_P003_WA12,Cranzilla-02,NA,NA
VAC_155005_P003_WB01,WC17-007-1,Diversity panel,Yes
VAC_155005_P003_WB02,WC17-023-8,Diversity panel,Yes
VAC_155005_P003_WB03,WC17-027-3,Diversity panel,Yes
VAC_155005_P003_WB04,WC17-038-1,Diversity panel,Yes
VAC_155005_P003_WB05,WC17-046-5,Diversity panel,Yes
VAC_155005_P003_WB06,WC17-053-4,Diversity panel,Yes
VAC_155005_P003_WB07,WC17-070-1,Diversity panel,Yes
VAC_155005_P003_WB08,WC17-090-6,Diversity panel,Yes
VAC_155005_P003_WB09,A4S203,NA,NA
VAC_155005_P003_WB10,#35 x HyRed-03,NA,NA
VAC_155005_P003_WB11,#35 x WSU108-07,NA,NA
VAC_155005_P003_WB12,Cranzilla-03,NA,NA
VAC_155005_P003_WC01,WC17-007-7,Diversity panel,Yes
VAC_155005_P003_WC02,WC17-024-1,Diversity panel,Yes
VAC_155005_P003_WC03,WC17-027-4,Diversity panel,Yes
VAC_155005_P003_WC04,WC17-038-2,Diversity panel,Yes
VAC_155005_P003_WC05,WC17-047-1,Diversity panel,Yes
VAC_155005_P003_WC06,WC17-057-2,Diversity panel,Yes
VAC_155005_P003_WC07,WC17-070-7,Diversity panel,Yes
VAC_155005_P003_WC08,WC17-099-2,Diversity panel,Yes
VAC_155005_P003_WC09,A5S097,NA,NA
VAC_155005_P003_WC10,#35 x HyRed-04,NA,NA
VAC_155005_P003_WC11,#35 x WSU108-08,NA,NA
VAC_155005_P003_WC12,Cranzilla-04,NA,NA
VAC_155005_P003_WD01,WC17-008-1,Diversity panel,Yes
VAC_155005_P003_WD02,WC17-025-1,Diversity panel,Yes
VAC_155005_P003_WD03,WC17-027-5,Diversity panel,Yes
VAC_155005_P003_WD04,WC17-039-1,Diversity panel,Yes
VAC_155005_P003_WD05,WC17-047-3,Diversity panel,Yes
VAC_155005_P003_WD06,WC17-062-1,Diversity panel,Yes
VAC_155005_P003_WD07,WC17-072-1,Diversity panel,Yes
VAC_155005_P003_WD08,WC12-325,Diversity panel,Yes
VAC_155005_P003_WD09,BLS079,NA,NA
VAC_155005_P003_WD10,#35 x WSU108-01,NA,NA
VAC_155005_P003_WD11,#35 x WSU108-09,NA,NA
VAC_155005_P003_WD12,Cranzilla-05,NA,NA
VAC_155005_P003_WE01,WC17-013-1,Diversity panel,Yes
VAC_155005_P003_WE02,WC17-025-2,Diversity panel,Yes
VAC_155005_P003_WE03,WC17-027-6,Diversity panel,Yes
